---
BL Avg Wind Speed [m/sec] Valid 1700 NZST ~Z75~(0500Z)~Z~ SUN 4 Jan 2026 ~Z75~[29hrFcst@2100z]~Z~
Model= RASP Region= NZ Grid= d2 Reskm= 2.0 Indexs= 1 69 1 69 Proj= lambert 2000 2000 -35.0000 -42.0000 176.0000 -37.7968 175.7263
Day= 2026 1 4 SUN ValidLST= 1700 NZST ValidZ= 500 Fcst= 29.0 Init= 22 Param= blwindSpeed Unit= m/s Mult= 1 Min= 0 Max= 10
5 5 5 4 4 4 4 2 0 2 2 3 3 3 3 3 3 2 1 0 1 2 3 3 3 3 2 2 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 3 2 3 3 2 2 3 3 3 3 3 3 4 4 4 3 4 4 4 4 3 3 4 4 4 5
5 5 5 5 5 4 4 3 0 2 2 4 4 4 4 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 4 4 4 5
5 5 5 5 5 5 4 3 1 1 3 4 4 4 4 4 4 4 4 3 3 3 3 2 3 2 3 3 3 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 4 3 4 5 5 5 5 5 4 5 4 4 4 4 4 4 4 3 3 4 4 4 5
5 5 5 5 5 5 4 4 3 2 2 4 5 5 4 5 5 5 5 5 5 4 3 3 3 3 3 3 2 2 2 2 2 2 1 2 2 2 3 3 3 3 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 3 3 3 4 4 4 4
5 5 5 5 5 5 5 4 3 3 2 4 4 5 5 5 6 6 6 5 4 4 4 3 3 3 3 3 3 2 2 2 2 1 2 2 2 2 3 3 3 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 4 4 4 4 3 3 4 4 4 4 4 4
5 5 5 5 5 5 5 4 3 3 3 4 4 5 6 6 6 6 6 5 5 4 4 3 4 4 3 3 3 2 2 2 1 2 2 2 2 3 3 3 3 5 4 4 4 4 4 4 4 4 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4
5 5 5 5 5 5 5 4 4 3 3 3 5 5 6 6 5 5 5 5 5 4 4 3 4 4 3 3 3 2 2 2 2 2 2 2 3 3 4 4 3 4 4 4 4 4 4 4 4 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 4 4
4 5 5 5 5 5 5 4 4 4 4 4 4 5 6 6 5 5 5 5 4 4 4 3 4 4 3 3 2 2 2 2 2 2 2 3 3 3 4 4 4 4 4 5 4 3 3 3 2 0 1 2 1 1 2 3 3 3 4 4 4 4 4 4 4 3 3 3 3
4 4 5 5 5 5 5 5 4 4 4 4 4 4 4 5 5 5 3 4 4 4 4 3 3 4 2 2 2 2 2 2 2 3 3 3 4 4 4 4 4 3 3 4 4 2 1 1 2 3 3 3 3 4 4 1 3 4 4 4 4 4 4 4 4 3 3 3 3
4 4 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 2 2 2 1 0 1 2 1 3 3 3 4 4 4 4 4 4 3 3 4 3 2 2 3 3 3 3 3 3 4 6 4 3 3 4 4 4 4 4 3 3 3 3 3 3
4 4 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 4 4 3 3 3 3 3 2 2 1 1 2 1 2 3 4 4 4 4 4 4 4 3 3 4 2 3 3 3 3 3 3 4 3 3 4 5 1 3 4 4 4 4 3 3 3 3 2 2 3
4 4 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 4 4 4 4 4 3 2 1 1 1 2 2 1 3 4 4 5 4 5 5 4 4 3 2 2 3 3 3 3 2 2 3 3 3 3 5 2 2 3 3 3 3 3 3 3 3 2 2 3
4 5 5 5 6 6 6 6 6 6 6 5 5 4 4 4 4 4 4 4 4 3 4 5 6 4 2 0 1 2 2 2 2 2 4 4 5 5 5 5 4 4 3 3 3 3 3 3 2 2 2 3 3 3 4 5 4 2 3 3 4 3 3 3 3 3 3 3 3
4 5 5 5 6 6 6 6 6 6 6 6 5 5 5 5 5 5 4 4 4 4 4 6 6 5 5 2 2 2 2 1 1 2 4 4 5 5 5 5 4 4 3 3 3 3 3 2 1 1 1 2 3 3 4 5 3 2 4 4 4 4 4 3 3 3 3 3 3
4 5 5 5 6 6 6 6 6 6 6 6 6 5 5 5 5 5 4 4 4 4 4 6 6 5 5 3 2 2 1 1 3 4 5 5 5 5 5 5 4 3 1 2 3 3 2 1 1 1 1 2 3 3 3 3 2 3 4 3 3 3 2 2 3 3 3 3 3
4 4 5 5 5 6 6 6 6 6 6 6 6 6 6 5 5 5 4 4 4 4 3 5 6 6 5 5 4 3 2 3 4 5 5 6 6 5 5 5 4 2 1 2 3 3 1 0 1 2 1 2 3 2 2 3 2 2 2 3 2 2 2 3 3 3 3 3 3
4 4 4 5 5 6 6 6 6 6 6 5 5 6 6 5 5 4 4 4 4 4 4 5 6 5 6 6 5 5 4 5 5 5 5 6 6 6 5 5 3 1 1 2 2 3 1 1 2 2 2 1 1 1 2 0 2 1 2 2 2 2 2 2 2 2 3 3 3
4 4 4 4 5 5 6 6 6 6 5 5 5 6 6 5 5 4 4 4 4 4 4 5 6 5 5 5 6 4 5 6 5 5 5 5 6 6 6 5 2 1 1 2 3 3 2 1 2 3 3 3 2 2 2 3 3 1 2 2 3 2 1 1 2 2 3 3 3
4 4 4 4 5 5 6 6 6 6 5 5 6 6 5 5 4 4 4 3 3 3 4 4 5 5 5 4 5 6 6 6 5 5 5 5 6 6 6 5 3 1 1 2 3 3 3 2 2 3 3 3 3 2 3 3 2 1 3 6 6 5 4 2 2 2 2 3 3
4 4 4 4 5 5 5 6 6 5 5 5 5 5 5 4 4 3 3 3 3 3 3 4 4 5 4 4 5 6 7 7 6 5 5 5 6 6 6 5 3 1 2 2 2 2 2 3 3 4 3 2 2 1 1 1 1 2 5 6 7 6 6 6 5 2 2 2 3
4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 4 4 3 3 3 3 3 3 4 4 5 5 5 6 7 7 7 6 5 4 4 4 4 4 4 1 1 3 3 2 1 2 3 3 4 4 2 1 2 2 2 3 5 5 5 6 6 6 6 6 5 4 2 2
4 4 4 5 5 5 5 5 5 5 4 4 4 4 4 4 3 3 3 3 3 3 3 3 4 4 4 4 4 5 5 6 5 4 1 1 2 1 1 2 1 0 1 3 3 2 2 3 3 3 4 3 1 2 2 2 5 5 4 4 5 6 6 6 6 6 5 4 2
4 4 5 5 5 5 5 5 5 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 1 1 0 2 4 4 2 2 1 1 1 2 2 1 0 1 2 2 3 2 2 2 3 3 4 3 1 2 4 4 4 4 5 5 5 6 6 5 5 6 5 4
4 5 5 5 5 5 6 5 5 3 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 1 0 2 0 3 3 4 3 3 3 3 3 5 4 1 1 1 1 1 1 3 2 2 2 3 4 4 2 2 3 4 5 4 5 5 5 5 5 5 5 5 6 5
5 5 5 6 6 6 6 6 5 4 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 1 0 1 1 4 4 4 4 5 6 7 8 7 2 0 2 2 1 0 1 2 2 2 3 3 3 4 4 2 3 4 5 5 5 5 5 5 5 5 5 5 6 6
5 5 6 6 6 7 7 7 6 5 3 2 2 2 3 3 3 3 3 3 3 4 3 3 2 2 1 1 1 2 4 4 5 5 5 7 8 10 7 3 1 2 2 1 1 0 1 2 2 2 3 3 3 4 1 3 4 5 5 5 5 5 5 4 4 4 5 5 5
5 6 6 6 7 7 7 7 6 6 4 3 2 2 3 3 3 3 3 3 3 3 3 1 2 1 1 2 3 3 4 5 5 5 4 5 6 6 3 2 2 2 1 1 1 0 1 1 1 2 2 3 4 3 1 4 4 4 5 5 5 4 4 3 4 4 4 4 4
6 6 6 7 7 7 7 7 7 6 5 4 4 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 3 4 4 5 5 5 4 3 3 3 2 2 2 1 1 1 0 1 0 1 1 2 3 3 3 4 3 4 4 4 4 4 4 4 4 2 3 4 4 4 4
6 6 6 6 7 7 7 7 6 6 5 4 4 3 3 3 3 3 3 3 2 1 2 2 2 2 2 1 2 3 4 4 5 4 4 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 3 4 3 3 4 4 4 4 4 4 4 3 3 3 3 3 4 4 4
6 6 6 6 6 6 6 6 6 5 5 4 4 3 3 3 3 3 3 2 2 4 3 4 3 3 2 1 2 3 4 4 4 4 4 3 1 1 1 1 1 1 0 0 0 0 0 2 2 1 4 4 3 4 4 3 4 4 4 4 4 3 3 3 3 3 3 3 3
6 6 6 6 6 6 6 6 5 5 4 4 4 4 3 3 3 3 2 2 4 3 3 4 4 3 2 2 2 3 4 4 4 5 4 4 1 0 2 2 3 3 1 1 0 1 1 2 3 3 3 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3
5 5 6 6 6 6 6 5 5 5 4 4 4 4 3 3 3 2 2 4 5 4 4 4 4 2 2 1 2 3 4 5 5 5 5 5 2 1 1 2 3 3 2 1 0 1 2 3 5 5 5 4 2 4 5 4 4 4 4 3 3 2 3 3 3 3 3 3 3
5 5 5 5 6 6 6 5 5 5 4 4 4 4 3 3 3 2 2 5 5 5 5 4 3 2 1 1 3 4 5 5 6 5 6 3 2 1 1 1 2 3 3 1 1 2 3 3 4 4 2 2 4 6 5 4 4 4 4 3 3 2 2 3 3 3 2 2 2
6 6 5 5 6 6 5 5 5 5 4 4 4 3 3 3 3 3 2 4 4 5 4 3 3 1 1 2 4 5 5 6 6 5 5 2 1 2 1 1 1 4 3 1 1 3 4 2 0 1 3 4 5 5 5 4 4 3 3 3 3 2 2 2 3 3 2 2 2
6 5 5 6 6 6 5 5 5 5 4 4 4 3 3 2 2 2 3 4 4 4 4 3 2 1 2 4 5 5 5 6 5 6 5 2 1 2 1 1 1 3 3 1 2 3 3 2 3 3 3 4 5 5 4 4 4 3 3 3 3 2 2 2 3 2 2 2 2
5 5 5 6 6 6 6 5 5 5 4 4 4 3 3 3 3 3 4 5 4 4 3 2 1 1 2 4 6 6 6 6 6 6 5 2 2 2 1 1 2 3 1 1 2 3 3 4 4 4 4 4 5 4 4 4 3 3 3 3 3 3 2 2 2 2 2 2 2
5 5 5 6 6 6 6 6 5 5 5 4 4 4 3 3 3 3 3 4 4 4 4 3 1 2 3 4 5 6 6 6 6 6 6 2 1 2 2 2 2 3 1 0 2 3 4 4 5 4 4 4 4 4 4 3 3 3 3 3 3 2 2 2 2 2 2 3 3
5 5 5 6 6 6 6 6 5 5 5 5 4 4 4 4 4 1 2 1 3 5 5 4 4 4 3 5 5 5 6 6 6 6 5 2 2 2 2 2 2 1 0 1 2 3 4 4 4 4 4 4 4 4 4 3 3 3 2 2 2 2 2 3 3 3 3 3 3
5 5 5 6 6 6 6 5 5 5 5 5 4 4 4 4 4 4 4 4 3 2 4 4 4 4 5 6 5 6 6 6 6 5 4 2 2 2 1 1 3 1 1 2 2 3 3 4 4 4 4 4 3 4 4 3 3 2 2 2 2 3 3 3 3 3 3 3 3
5 5 5 6 6 5 5 5 5 5 5 5 1 2 3 3 4 4 4 4 4 3 1 4 4 5 6 6 6 6 6 6 4 2 2 2 1 1 1 1 3 1 1 2 2 2 3 3 3 4 4 3 3 4 3 4 3 2 2 2 3 3 3 3 3 3 3 3 3
5 5 5 5 5 5 5 5 5 5 5 4 2 3 4 4 4 4 4 4 4 3 3 2 4 5 6 6 5 6 6 4 2 2 1 1 1 1 1 1 2 1 1 2 2 2 3 3 3 4 3 3 2 3 3 3 2 2 3 3 3 3 3 3 3 3 3 3 3
5 5 5 5 5 5 5 5 4 4 1 2 1 3 5 5 5 4 4 2 2 3 4 4 3 3 4 5 5 5 4 2 2 1 1 1 1 1 1 2 2 1 1 1 2 3 3 3 3 3 4 3 2 2 2 3 3 2 3 3 2 2 3 3 3 3 3 3 3
5 6 6 5 5 5 5 5 4 3 2 3 2 5 5 6 6 5 3 2 1 2 4 4 2 2 3 3 3 2 2 2 2 1 2 2 1 1 2 2 1 1 1 1 3 3 3 3 3 4 4 4 3 3 2 3 2 2 2 2 2 2 2 3 3 3 3 3 2
5 6 6 6 5 5 5 4 3 3 1 2 3 3 5 5 6 5 4 3 1 3 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 3 3 3 3 3 4 4 3 3 3 3 3 2 2 2 2 2 2 2 2 3 3 2 2 2
5 6 6 5 5 5 5 3 3 1 2 2 2 2 3 5 5 5 4 1 2 3 3 2 3 3 2 2 2 2 2 1 1 2 2 2 2 2 1 2 1 2 2 3 3 4 4 4 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2
5 5 5 5 5 5 3 3 0 1 2 2 2 2 2 3 4 4 4 2 3 3 3 3 3 3 3 2 2 2 1 1 1 1 2 2 1 1 1 1 1 2 1 3 4 4 4 4 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 1
5 5 5 5 4 3 2 0 2 3 1 1 2 2 2 3 3 3 3 2 2 3 2 1 3 4 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 3 4 4 4 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1
5 5 5 5 4 3 1 1 1 0 1 3 2 2 2 2 2 3 3 3 3 3 1 1 4 3 1 0 0 0 1 1 1 1 1 1 2 2 1 2 1 2 2 4 4 4 4 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1
5 5 5 5 3 1 1 1 1 1 2 3 3 2 2 2 2 3 3 3 3 2 3 3 5 1 0 0 0 0 0 1 1 1 2 2 2 1 2 2 2 1 1 3 4 4 3 3 3 3 3 3 3 2 2 2 2 2 2 2 1 1 1 2 2 2 2 1 0
